distance_km,hour,day_of_week,passengers,weather,is_peak,surge_multiplier,fare
14.183924353953632,23,5,1,1,0,1.7,383.11
25.828469610626083,20,0,6,1,1,1.9000000000000001,738.95
26.522365295246708,0,4,5,0,0,1.0,409.66
11.626009040363355,19,4,6,0,1,1.6,292.43
11.35943694194348,2,0,5,0,0,1.0,203.31
20.034958745266593,12,6,2,0,0,1.0,315.11
38.116581682673676,6,2,6,2,0,1.7,966.78
25.960193600643827,5,2,2,1,0,1.3,517.27
4.25345660843719,5,2,3,0,0,1.0,91.96
20.839929267172046,1,4,2,1,0,1.3,425.03
18.672968174617534,15,5,4,0,0,1.0,310.32
31.640614861971933,5,1,4,0,0,1.0,467.05
23.244455492783718,7,6,4,0,0,1.0,368.17
11.920818446777549,20,4,4,0,1,1.6,314.81
6.552700182812705,10,3,3,0,1,1.5,170.41
33.66444747452539,17,6,2,1,1,1.9000000000000001,919.67
14.607294864487486,22,3,2,0,0,1.0,262.67
15.462893078620722,5,5,2,1,0,1.3,328.25
17.413300219779014,13,6,3,0,0,1.0,282.14
1.887677160205256,14,4,3,0,0,1.0,45.6
24.682998530546946,10,4,4,1,1,1.8,657.03
13.423141431650228,14,0,6,0,0,1.0,246.0
14.175607326090361,12,2,3,1,0,1.3,305.08
22.208163933906,5,5,3,0,0,1.0,345.13
2.6597796850994366,3,0,1,0,0,1.0,65.59
16.38248656245837,13,5,4,0,0,1.0,279.44
20.629691409338108,12,3,4,1,0,1.3,411.93
16.788269852656683,9,3,1,0,1,1.5,383.98
15.864846402650679,21,1,2,0,0,1.0,259.99
14.782054370934347,11,2,6,1,0,1.3,316.19
19.357273821460304,23,2,1,2,0,1.7,484.33
26.410283444432476,7,5,1,0,0,1.0,407.13
22.160766015475584,19,3,6,1,1,1.9000000000000001,623.93
20.316044528881644,4,0,6,2,0,1.7,536.35
31.27803026777789,1,4,1,0,0,1.0,467.63
0.5,19,2,3,0,1,1.6,49.98
9.453863314576118,11,4,1,0,0,1.0,141.81
6.30014091620232,5,3,5,1,0,1.3,161.82
16.88336038712442,14,1,1,0,0,1.0,276.64
13.31885506960525,17,3,2,0,1,1.6,328.64
13.720565709271746,17,4,2,1,1,1.9000000000000001,388.44
8.73573235847142,9,3,6,1,1,1.8,251.36
24.052135246310964,6,2,2,0,0,1.0,371.2
21.768681091642076,9,5,1,1,1,1.8,572.09
14.222247641495613,4,5,4,2,0,1.7,376.41
6.540949308931864,15,4,2,1,0,1.3,154.43
2.03345701385009,18,4,1,1,1,1.9000000000000001,88.38
25.000018462185704,2,1,2,2,0,1.7,640.97
